"Format","AiM CSV File"
"Session","Amigo 2"
"Vehicle","GGR26"
"Racer","Faran"
"Championship","My Balls"
"Comment","Faran WARMUP + 1st 10 laps BEST LAP 16
"
"Date","Friday, May 8, 2026"
"Time","2:33 PM"
"Sample Rate","20"
"Duration","589.988"
"Segment","Session"
"Beacon Markers","41.191","68.683","96.266","123.782","151.582","178.826","205.981","284.896","311.825","338.852","365.976","392.399","418.904","445.747","472.655","500.56","526.816","554.239","581.126","589.988"
"Segment Times","0:41.191","0:27.492","0:27.583","0:27.516","0:27.800","0:27.244","0:27.155","1:18.915","0:26.929","0:27.027","0:27.124","0:26.423","0:26.505","0:26.843","0:26.908","0:27.905","0:26.256","0:27.423","0:26.887","0:08.862"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RR Shock Pos","FR Shock Pos","FL Shock Pos","RL Shock Pos","Gear Position","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","ECU RPM","ECU WH SP RL","ECU WH SP RR","ECU THROTTLE","Distance on GPS Speed","RL Slip","RR Slip","LapT","SessT","Velocity on RR Shock Pos","Velocity on FR Shock Pos","Velocity on FL Shock Pos","Velocity on RL Shock Pos"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","mm","mm","mm","mm","gear","g","g","deg/s","deg/s","deg/s","rpm","km/h","km/h","%","m","%","%","ms","ms","mm/s","mm/s","mm/s","mm/s"

"0.000","0.0805","13","0.0000","0.0000","28.3908","79.9067","0.0000","10.4235","940.0000","0.4680","10000.0000","45.50445557","-75.54477823","40.3438","12.5703","29.4219","41.4062","0.0000","-0.0372","-0.9995","-0.3044","0.0637","-0.3608","314.0000","0.0000","0.0000","0.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0287","0.0165","0.0012","0.0310"
"0.050","0.0805","13","0.0000","0.0000","28.3908","79.9067","0.0000","10.4235","940.0000","0.4680","10000.0000","45.50445557","-75.54477823","40.3438","12.5703","29.4219","41.4062","0.0000","-0.0372","-0.9995","-0.3186","0.0539","-0.3596","314.0000","0.0000","0.0000","0.2000","0.0011","0.0000","0.0000","50000.0000","50000.0000","0.0095","-0.0290","-0.0093","0.0088"
"0.100","0.0805","13","0.0000","0.0000","28.3908","79.9067","0.0000","10.4235","940.0000","0.4680","10000.0000","45.50445557","-75.54477823","40.3438","12.5703","29.4219","41.4062","0.0000","-0.0372","-0.9995","-0.3335","0.0517","-0.3357","314.0000","0.0000","0.0000","0.2000","0.0022","0.0000","0.0000","100000.0000","100000.0000","-0.0397","-0.0196","0.0014","-0.0487"
"0.150","0.0805","13","0.0000","0.0000","28.3908","79.9067","0.0000","10.4235","940.0000","0.4680","10000.0000","45.50445557","-75.54477823","40.3438","12.5703","29.4219","41.4062","0.0000","-0.0372","-0.9995","-0.3324","0.0626","-0.3053","314.0000","0.0000","0.0000","0.2000","0.0034","0.0000","0.0000","150000.0000","150000.0000","-0.0097","0.0474","0.0212","-0.0126"
"0.200","0.0805","13","0.0000","0.0000","28.3908","79.9067","0.0000","10.4235","940.0000","0.4680","10000.0000","45.50445557","-75.54477823","40.3438","12.5703","29.4219","41.4062","0.0000","-0.0439","-1.0029","-0.3198","0.0823","-0.2837","314.0000","0.0000","0.0000","0.2000","0.0045","0.0000","0.0000","200000.0000","200000.0000","0.0694","0.0845","0.0236","0.0749"
"0.250","0.0805","13","0.0000","0.0000","28.3908","79.9067","0.0000","10.4235","940.0000","0.4680","10000.0000","45.50445557","-75.54477823","40.3438","12.5852","29.4367","41.4062","0.0000","-0.0279","-1.0005","-0.3024","0.0885","-0.2830","314.0000","0.0000","0.0000","0.2000","0.0056","0.0000","0.0000","250000.0000","250000.0000","0.0722","0.0324","0.0039","0.0751"
"0.300","0.0942","13","0.0000","0.0000","32.1010","7.9618","0.0000","10.4305","940.0000","0.4680","10000.0000","45.50445557","-75.54477825","40.3578","12.5789","29.4203","41.4203","0.0000","-0.0146","-0.9980","-0.2871","0.0786","-0.3040","314.0000","0.0000","0.0000","0.2000","0.0068","0.0000","0.0000","300000.0000","300000.0000","-0.0032","-0.0265","0.0271","-0.0121"
"0.350","0.1080","13","0.0000","0.0000","35.8112","-63.9830","0.0000","10.4374","940.0000","0.4680","10000.0000","45.50445557","-75.54477827","40.3438","12.5633","29.4219","41.4062","0.0000","-0.0216","-0.9966","-0.2791","0.0601","-0.3473","319.3333","0.0000","0.0000","0.2000","0.0083","0.0000","0.0000","350000.0000","350000.0000","-0.0501","-0.0294","0.0806","-0.0523"
"0.400","0.1707","13","0.0000","0.0000","20.9029","-31.8573","0.0000","10.4340","940.0000","0.5400","10000.0000","45.50445560","-75.54477825","40.3438","12.5781","29.4359","41.4062","0.0000","-0.0208","-0.9917","-0.2748","0.0415","-0.3871","326.0000","0.0000","0.0000","0.2000","0.0102","0.0000","0.0000","400000.0000","400000.0000","-0.0455","-0.0184","0.0714","-0.0331"
"0.450","0.2333","13","0.0000","0.0000","5.9946","0.2683","0.0000","10.4306","940.0000","0.6120","10000.0000","45.50445563","-75.54477823","40.3438","12.5707","29.4219","41.4062","0.0000","-0.0142","-0.9868","-0.2607","0.0425","-0.3958","323.7778","0.0000","0.0000","0.1444","0.0130","0.0000","0.0000","450000.0000","450000.0000","-0.0380","-0.0170","-0.0449","-0.0353"
