"Format","AiM CSV File"
"Session","Amigo 2"
"Vehicle","GGR26"
"Racer","Faran"
"Championship","My Balls"
"Comment","Faran with aero warmups
No Best Lap"
"Date","Friday, May 8, 2026"
"Time","3:59 PM"
"Sample Rate","20"
"Duration","166.997"
"Segment","Session"
"Beacon Markers","49.834","76.211","102.438","128.52","154.772","166.997"
"Segment Times","0:49.834","0:26.377","0:26.227","0:26.082","0:26.252","0:12.225"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RR Shock Pos","FR Shock Pos","FL Shock Pos","RL Shock Pos","Gear Position","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","ECU RPM","ECU WH SP RL","ECU WH SP RR","ECU THROTTLE","Distance on GPS Speed","RL Slip","RR Slip","LapT","SessT","Velocity on RR Shock Pos","Velocity on FR Shock Pos","Velocity on FL Shock Pos","Velocity on RL Shock Pos"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","mm","mm","mm","mm","gear","g","g","deg/s","deg/s","deg/s","rpm","km/h","km/h","%","m","%","%","ms","ms","mm/s","mm/s","mm/s","mm/s"

"0.000","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-1.0078","-0.5210","0.2502","0.0915","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0305","0.0135","-0.0041","0.0094"
"0.050","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-1.0078","-0.5750","0.2880","0.0313","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","50000.0000","50000.0000","-0.0257","0.0358","0.0168","-0.0156"
"0.100","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-1.0078","-0.6025","0.3018","-0.0072","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","100000.0000","100000.0000","-0.0434","-0.0231","-0.0008","-0.0193"
"0.150","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-1.0078","-0.6052","0.2935","-0.0075","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","150000.0000","150000.0000","0.0355","-0.0458","-0.0183","0.0183"
"0.200","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0131","-1.0095","-0.5889","0.2842","0.0199","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","200000.0000","200000.0000","0.0581","0.0458","0.0081","0.0307"
"0.250","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0042","-1.0039","-0.5676","0.2692","0.0542","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","250000.0000","250000.0000","-0.0518","0.0615","0.0298","-0.0290"
"0.300","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0051","-1.0085","-0.5508","0.2522","0.0760","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","300000.0000","300000.0000","-0.0734","-0.1416","-0.0369","-0.1231"
"0.350","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2117.3000","0.7103","10000.0000","45.50449444","-75.54466473","40.8750","14.7543","32.5000","40.4547","1.0000","-0.0090","-1.0062","-0.5356","0.2476","0.0732","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","350000.0000","350000.0000","0.0963","-0.2984","-0.1030","-0.2143"
"0.400","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2112.2999","0.6923","10000.0000","45.50449444","-75.54466473","40.8750","14.7340","32.4703","40.4672","1.0000","-0.0039","-1.0116","-0.5254","0.2566","0.0563","509.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","400000.0000","400000.0000","0.1809","-0.1479","-0.0395","-0.2350"
"0.450","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2109.9999","0.6937","10000.0000","45.50449444","-75.54466473","40.8891","14.7387","32.5000","40.4375","1.0000","0.0011","-1.0091","-0.5398","0.2521","0.0475","540.2667","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","450000.0000","450000.0000","0.0292","0.1019","0.1135","-0.1208"
"0.500","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2109.9999","0.7117","10000.0000","45.50449444","-75.54466473","40.8766","14.7352","32.5000","40.4375","1.0000","-0.0077","-1.0099","-0.5884","0.2278","0.0418","570.6667","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","500000.0000","500000.0000","-0.1196","0.0494","0.1546","0.0646"
