"Format","AiM CSV File"
"Session","Amigo 2"
"Vehicle","GGR26"
"Racer","Faran"
"Championship","My Balls"
"Comment","Aero + Engine Fucked BEST LAP 1
"
"Date","Friday, May 8, 2026"
"Time","4:08 PM"
"Sample Rate","20"
"Duration","61.999"
"Segment","Session"
"Beacon Markers","28.538","54.071","61.999"
"Segment Times","0:28.538","0:25.533","0:07.928"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RR Shock Pos","FR Shock Pos","FL Shock Pos","RL Shock Pos","Gear Position","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","ECU RPM","ECU WH SP RL","ECU WH SP RR","ECU THROTTLE","Distance on GPS Speed","RL Slip","RR Slip","LapT","SessT","Velocity on RR Shock Pos","Velocity on FR Shock Pos","Velocity on FL Shock Pos","Velocity on RL Shock Pos"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","mm","mm","mm","mm","gear","g","g","deg/s","deg/s","deg/s","rpm","km/h","km/h","%","m","%","%","ms","ms","mm/s","mm/s","mm/s","mm/s"

"0.000","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","0.0041","-0.9912","-0.4951","0.2625","-0.0074","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0017","0.0038","0.0087","0.0363"
"0.050","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","0.0041","-0.9912","-0.4825","0.2819","0.0146","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","50000.0000","50000.0000","-0.0125","-0.0062","0.0175","0.0172"
"0.100","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","0.0041","-0.9912","-0.4524","0.2959","0.0129","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","100000.0000","100000.0000","-0.0019","0.0003","-0.0223","-0.0509"
"0.150","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","0.0041","-0.9912","-0.4381","0.2762","0.0056","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","150000.0000","150000.0000","0.0156","0.0111","-0.0207","-0.0128"
"0.200","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","0.0041","-0.9912","-0.4385","0.2263","0.0123","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","200000.0000","200000.0000","-0.0089","-0.0087","0.0355","0.0560"
"0.250","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","0.0041","-0.9912","-0.4357","0.1808","0.0246","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","250000.0000","250000.0000","-0.0173","-0.0281","0.0287","0.0106"
"0.300","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","-0.0023","-0.9906","-0.4429","0.1691","0.0393","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","300000.0000","300000.0000","0.0314","0.0473","-0.0703","-0.0792"
"0.350","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9219","33.9062","42.2812","1.0000","-0.0120","-0.9893","-0.4547","0.1857","0.0331","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","350000.0000","350000.0000","-0.0080","0.1751","-0.0955","0.0003"
"0.400","0.0000","14","0.0000","0.0000","0.0000","0.0000","0.0000","10.3134","2390.0001","0.6840","10000.0000","45.50446055","-75.54473095","40.4375","16.9664","33.8766","42.2812","1.0000","-0.0006","-0.9897","-0.4670","0.2104","0.0021","1035.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","400000.0000","400000.0000","-0.1738","0.1831","0.0140","0.1096"
"0.450","0.0040","14","0.0000","0.0000","-0.9770","-8.6598","0.0000","10.3131","2413.5001","0.6804","10000.0000","45.50446055","-75.54473095","40.4203","16.9305","33.9062","42.2812","1.0000","0.0121","-0.9912","-0.4795","0.2245","-0.0230","780.8000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","450000.0000","450000.0000","-0.2567","-0.0075","0.0645","-0.0287"
"0.500","0.0443","14","0.0000","0.0000","-10.7474","-95.2582","0.0000","10.3104","2648.5000","0.6444","10000.0000","45.50446051","-75.54473089","40.4062","16.9375","33.9062","42.2812","1.0000","0.0026","-1.0024","-0.4985","0.2278","-0.0235","475.5555","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","500000.0000","500000.0000","-0.0415","-0.1527","-0.0385","-0.2699"
